#0)model 1)rv 2)Rgc 3)Z 4)N(x10^5) 5)t_merge(Myr) 6)id1 7)id2 8)m1 9)m2 10)spin1 11)spin2 12)v_kick 13)v_esc 14)channel 15)id_merger 16)m_merger 17)spin_merger 18)a_final (AU) 19)e_final
# merger channels: 1)ejected 2)in-cluster binary 3) in cluster 3-body 4) in cluster 4 body 5) in cluster 2-body GW capture
149 2.0 20.0 0.002 1.0 309.490710101 9113410.0 13810885.0 41.3714 41.8489 0.0 0.0 3.30239 163.464 3 13810886.0 79.2034 0.686442 0.00027539 0.492746
149 2.0 20.0 0.002 1.0 314.535227132 2057201.0 6835503.0 35.3999 41.4906 0.0 0.0 45.1121 165.079 2 2057201.0 73.2186 0.683023 0.00192835 0.0630039
149 2.0 20.0 0.002 1.0 314.88322323 8889901.0 16037142.0 41.2407 41.6981 0.0 0.0 3.17407 164.664 2 8889901.0 78.9356 0.686444 0.0186203 0.898739
149 2.0 20.0 0.002 1.0 321.403149386 4494056.0 10342966.0 16.0431 14.2919 0.0 0.0 33.043 144.529 2 4494056.0 28.8791 0.684636 0.00112719 0.0230619
149 2.0 20.0 0.002 1.0 321.577497019 8572977.0 12943094.0 41.6667 40.7494 0.0 0.0 6.40536 188.632 4 12943095.0 78.4388 0.686392 0.000315988 0.287316
149 2.0 20.0 0.002 1.0 322.933873506 10535477.0 12943095.0 78.578 78.4388 0.686449 0.686392 565.172 166.255 3 10535479.0 150.88 0.576058 0.00047303 0.638528
149 2.0 20.0 0.002 1.0 328.154160124 10178208.0 13355890.0 68.7987 60.119 0.676872 0.632194 352.36 172.947 4 13355891.0 122.038 0.728697 0.000363245 0.752144
149 2.0 20.0 0.002 1.0 329.885862069 8429749.0 12595577.0 41.6052 41.2376 0.0 0.0 2.55401 176.143 2 8429749.0 78.8441 0.686449 0.00184311 0.123056
149 2.0 20.0 0.002 1.0 332.035303908 7105007.0 10697977.0 41.8473 40.8411 0.0 0.0 7.00262 164.791 2 7105007.0 78.698 0.686379 0.126527 0.988419
149 2.0 20.0 0.002 1.0 336.604471091 2788036.0 10363233.0 16.8157 17.4836 0.0 0.0 11.2005 150.765 2 2788036.0 32.6448 0.686253 0.00251128 0.143987
149 2.0 20.0 0.002 1.0 336.723752603 2057201.0 11630985.0 73.2186 78.2943 0.683023 0.68646 1266.99 148.643 2 2057201.0 141.048 0.82572 0.00720292 0.510918
149 2.0 20.0 0.002 1.0 349.22341952 5324037.0 12495236.0 76.0388 38.6144 0.685334 0.0 812.805 175.96 2 5324037.0 109.17 0.70566 0.0286665 0.954885
149 2.0 20.0 0.002 1.0 349.309065034 4268834.0 9260434.0 36.6237 41.7606 0.0 0.0 37.4485 170.984 2 4268834.0 74.6284 0.684108 0.0373396 0.983559
149 2.0 20.0 0.002 1.0 351.77906528 4623628.0 10711123.0 15.0028 41.3914 0.0 0.0 175.211 167.95 2 4623628.0 54.5957 0.561485 0.00416347 0.401664
149 2.0 20.0 0.002 1.0 351.824043567 7159139.0 10745403.0 38.0617 40.3425 0.0 0.0 16.7212 126.761 2 7159139.0 74.625 0.685997 0.00285197 0.0316915
149 2.0 20.0 0.002 1.0 358.148499851 8312800.0 3815609.0 41.807 38.2896 0.0 0.0 25.1958 178.338 3 14315609.0 76.243 0.685405 0.000213236 0.860862
149 2.0 20.0 0.002 1.0 358.97311738 10919489.0 18287799.0 40.6653 41.2579 0.0 0.0 4.16362 170.746 3 10919491.0 77.9691 0.686432 0.000234372 0.725989
149 2.0 20.0 0.002 1.0 365.733909954 6893646.0 15767457.0 16.8743 31.9635 0.0 0.0 149.722 167.586 3 15767458.0 46.8487 0.633292 0.0839742 0.999951
149 2.0 20.0 0.002 1.0 365.825994339 10416221.0 11989486.0 20.4132 42.2725 0.0 0.0 160.584 45.4045 2 10416221.0 60.2553 0.618389 0.00188191 0.010947
149 2.0 20.0 0.002 1.0 366.924782044 11561647.0 11260187.0 41.086 42.0337 0.0 0.0 6.56123 175.301 3 11260189.0 79.1084 0.686389 0.000216967 0.918972
149 2.0 20.0 0.002 1.0 367.637788677 6988525.0 11260189.0 41.6346 79.1084 0.0 0.686389 984.875 143.111 2 6988525.0 114.277 0.754206 0.0050114 0.265153
149 2.0 20.0 0.002 1.0 368.446966183 10532434.0 10813451.0 72.7177 37.2174 0.682863 0.0 311.82 71.5376 2 10532434.0 104.373 0.731189 0.00441782 0.0137846
149 2.0 20.0 0.002 1.0 375.504190886 7159139.0 12005915.0 74.625 39.3554 0.685997 0.0 1286.21 171.882 2 7159139.0 109.577 0.599389 0.00535541 0.286664
149 2.0 20.0 0.002 1.0 379.66130126 10561486.0 15767458.0 47.3716 46.8487 0.0 0.633292 435.992 166.454 2 10561486.0 90.4369 0.599163 0.00466627 0.0932728
149 2.0 20.0 0.002 1.0 380.526835094 15704165.0 10580792.0 41.4357 33.1189 0.0 0.0 62.8601 167.188 5 15704165.0 71.0318 0.679636 24.1803 0.999982
149 2.0 20.0 0.002 1.0 382.430830406 7360027.0 8569455.0 41.9567 41.3406 0.0 0.0 4.25689 158.53 2 7360027.0 79.2769 0.68643 0.0643987 0.980889
149 2.0 20.0 0.002 1.0 389.190305771 7360027.0 8943118.0 79.2769 40.6608 0.68643 0.0 995.315 99.4865 2 7360027.0 115.278 0.604759 0.00677222 0.0569246
149 2.0 20.0 0.002 1.0 401.579501854 7784185.0 13123907.0 41.736 40.7434 0.0 0.0 6.92575 175.12 3 13123908.0 78.4991 0.686381 0.000286031 0.423421
149 2.0 20.0 0.002 1.0 404.35606286 12552340.0 12610288.0 41.2757 41.4308 0.0 0.0 1.07985 147.727 2 12552340.0 78.7143 0.686458 0.00445683 0.647569
149 2.0 20.0 0.002 1.0 408.462506891 7871025.0 11429017.0 41.908 40.4183 0.0 0.0 10.4101 113.338 2 7871025.0 78.3547 0.686281 0.00546909 0.0341906
149 2.0 20.0 0.002 1.0 408.985866621 4268834.0 14315609.0 74.6284 76.243 0.684108 0.685405 1127.25 86.2555 2 4268834.0 143.776 0.665082 0.00623592 0.00529429
149 2.0 20.0 0.002 1.0 411.932265535 8429749.0 15650655.0 78.8441 41.7231 0.686449 0.0 1198.4 166.278 2 8429749.0 115.587 0.631916 0.00412893 0.178897
149 2.0 20.0 0.002 1.0 419.210807509 1284835.0 13945452.0 41.379 41.0944 0.0 0.0 1.98612 41.81 2 1284835.0 78.4925 0.686454 0.00643874 0.233139
149 2.0 20.0 0.002 1.0 421.889833662 4130789.0 10513070.0 41.5799 40.9973 0.0 0.0 4.0609 116.967 2 4130789.0 78.5915 0.686433 0.00419818 0.0296095
149 2.0 20.0 0.002 1.0 426.25360547 1594539.0 12689425.0 17.7858 17.261 0.0 0.0 8.61586 158.936 2 1594539.0 33.3558 0.686338 0.00284202 0.00350431
149 2.0 20.0 0.002 1.0 427.336786765 15617500.0 168168.0 32.402 35.6261 0.0 0.0 27.1776 150.308 5 15617500.0 64.7569 0.685231 3.97843 0.999938
149 2.0 20.0 0.002 1.0 430.935028603 13294519.0 11015089.0 41.7319 36.9186 0.0 0.0 35.0037 164.592 4 11015091.0 74.8782 0.68441 0.000265362 0.462995
149 2.0 20.0 0.002 1.0 431.449288217 5102920.0 11015091.0 41.8554 74.8782 0.0 0.68441 612.84 166.319 4 11015092.0 109.994 0.781956 0.000317587 0.821551
149 2.0 20.0 0.002 1.0 432.403105068 7871025.0 15704165.0 78.3547 71.0318 0.686281 0.679636 1707.5 163.75 2 7871025.0 141.8 0.706952 0.00716907 0.0778898
149 2.0 20.0 0.002 1.0 435.542639661 13123908.0 17194298.0 78.4991 41.3176 0.686381 0.0 527.237 162.381 2 13123908.0 116.195 0.459925 0.00538737 0.0909958
149 2.0 20.0 0.002 1.0 442.366544603 10806326.0 8784435.0 36.8499 41.7879 0.0 0.0 35.9041 176.146 3 10806327.0 74.8674 0.684301 0.000211455 0.839134
149 2.0 20.0 0.002 1.0 452.670633027 6822006.0 9447800.0 30.5509 41.6984 0.0 0.0 85.2466 168.854 3 17322006.0 68.9018 0.673378 0.000193767 0.842006
149 2.0 20.0 0.002 1.0 456.857884869 8229311.0 9531359.0 39.4514 41.8215 0.0 0.0 16.7622 176.365 2 8229311.0 77.3556 0.685995 0.00156013 0.138309
149 2.0 20.0 0.002 1.0 457.213765724 11697626.0 12404084.0 40.7211 41.1837 0.0 0.0 3.25112 166.69 3 11697628.0 77.9514 0.686443 0.000219018 0.845977
149 2.0 20.0 0.002 1.0 459.609996628 12181928.0 17322006.0 41.4068 68.9018 0.0 0.673378 88.9458 161.356 2 12181928.0 106.188 0.572934 0.0033978 0.118141
149 2.0 20.0 0.002 1.0 459.973238193 4130789.0 8450691.0 78.5915 41.6406 0.686433 0.0 1063.01 26.1616 2 4130789.0 114.389 0.708455 0.00492273 0.0360037
149 2.0 20.0 0.002 1.0 460.202677308 4623628.0 10806327.0 54.5957 74.8674 0.561485 0.684301 514.745 161.052 2 4623628.0 122.571 0.729107 0.00530241 0.0093821
149 2.0 20.0 0.002 1.0 466.338754489 2349608.0 11697628.0 41.3837 77.9514 0.0 0.686443 103.336 156.833 2 2349608.0 115.827 0.437817 0.00476982 0.367195
149 2.0 20.0 0.002 1.0 466.673249859 12181928.0 14150944.0 106.188 42.046 0.572934 0.0 114.732 158.103 2 12181928.0 144.604 0.363931 0.00663323 0.102072
149 2.0 20.0 0.002 1.0 471.435282984 15617500.0 16841215.0 64.7569 41.4681 0.685231 0.0 1176.19 162.44 2 15617500.0 100.317 0.753586 0.0037553 0.030054
149 2.0 20.0 0.002 1.0 471.889231066 11198457.0 12048629.0 39.1096 40.9218 0.0 0.0 13.0228 116.995 2 11198457.0 76.1716 0.68618 0.00619036 0.569979
149 2.0 20.0 0.002 1.0 475.08615123 2349608.0 11617100.0 115.827 66.0625 0.437817 0.670602 110.779 161.03 2 2349608.0 175.554 0.540222 0.00881528 0.163759
149 2.0 20.0 0.002 1.0 480.173432653 11452881.0 12181928.0 42.4038 144.604 0.0 0.363931 426.239 164.299 2 11452881.0 181.605 0.555791 0.00746458 0.0797925
149 2.0 20.0 0.002 1.0 481.331451555 2349608.0 12552340.0 175.554 78.7143 0.540222 0.686458 490.16 177.718 3 12552341.0 243.683 0.660176 0.000711138 0.765924
149 2.0 20.0 0.002 1.0 484.217859953 11396545.0 12741836.0 41.1149 42.1143 0.0 0.0 6.91048 177.434 2 11396545.0 79.2128 0.686381 0.00175472 0.0323245
149 2.0 20.0 0.002 1.0 484.385787232 3702596.0 11396545.0 41.7109 79.2128 0.0 0.686381 713.353 176.788 3 11396546.0 113.755 0.801282 0.00031436 0.924067
